team,home_attack_strength,home_defence_strength,away_attack_strength,away_defence_strength
Arsenal,1.385353132400661,0.6291737369692932,1.3434361644899964,0.5667913411715195
Aston Villa,1.1728334663077817,0.9111386200266111,0.9459109780229177,0.9561882606455058
Bournemouth,0.8469047013669438,0.8628411401489704,1.1266420791392695,1.1590543491829692
Brentford,1.1212251963686772,1.0488704828918858,0.9667350039081403,0.9430619582996026
Brighton,1.0014685444801965,0.9184775741799379,1.112315515275366,0.9957243210753297
Burnley,0.5995779887833861,1.3150412207638704,0.8105545563931512,1.330569218314819
Chelsea,1.0524782832755162,0.8898251280753928,1.1885869758743643,0.9043465791470737
Crystal Palace,0.8101595985632914,0.9497609353613474,0.8956868099846008,0.9197518979301772
Everton,0.7999800489618738,0.9650830074947849,0.7338962981304588,0.8760298213466367
Fulham,0.9746437975665467,0.9866569186690987,0.8779732631311269,0.9625332697059991
Ipswich,0.48695652173913045,1.6296296296296298,0.8148148148148149,1.3217391304347827
Leeds,0.9169484702093398,1.1556164216540097,0.8911428214775077,1.2626839358098727
Leicester,0.6787209569818266,1.1852956832577817,0.887815057744689,1.4704393834828617
Liverpool,1.378073575298121,0.6878651993073783,1.4016780860875562,0.9197900464972193
Luton,0.8187134502923975,1.316725978647687,0.8540925266903915,1.4035087719298245
Man City,1.6064692799798932,0.6799910909358147,1.3715252004192018,0.6356387108589954
Man United,1.0716880156413022,0.9366526649245245,1.016482479358258,0.9383149360992019
Newcastle,1.286236530857378,0.9374362154498349,1.0091909188037163,0.9344574886046255
Norwich,0.41739130434782606,1.7338709677419353,0.4435483870967742,1.4260869565217393
Nott'm Forest,0.7980870467022128,0.8994920021335072,1.004380324254677,1.077232269412495
Sheffield United,0.5555555555555556,2.0284697508896796,0.5693950177935942,1.3742690058479532
Southampton,0.5475040257648953,1.5896070249863885,0.6001514348898171,1.3200828157349898
Sunderland,0.8620689655172414,0.8602150537634408,0.7311827956989247,0.9655172413793103
Tottenham,1.0467329298313808,1.1773580250341922,1.1888054958741097,0.9878151762325464
Watford,0.591304347826087,1.8548387096774193,0.6854838709677419,1.0782608695652174
West Ham,0.8931343295213992,1.1733196670482258,0.8707008944201619,1.122104483820468
Wolves,0.7488380176383543,1.1994227973337535,0.6696820801230633,1.1435881669301802
